micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,mean_jaccard,exact_match_accuracy,bootstrap_id
0.4608050847457627,0.56640625,0.508177570093458,0.4754254495504495,0.5887148823398823,0.50210616306024,0.358097,0.01,79
0.5060240963855421,0.5985748218527316,0.5484221980413493,0.5453326812076812,0.6443531468531468,0.5695257430355902,0.4251479999999999,0.05,80
0.5295381310418904,0.6296296296296297,0.5752625437572929,0.5299111999111998,0.650686716061716,0.5669654874712403,0.42167,0.02,81
0.4773413897280967,0.6155844155844156,0.5377197958026092,0.5155679459429459,0.6412337384837384,0.5499474327381962,0.407393,0.03,82
0.5173184357541899,0.623989218328841,0.5656689065363469,0.5349922577422577,0.6540408202908202,0.5582827721453563,0.41547199999999995,0.03,83
0.49795918367346936,0.6404199475065617,0.5602755453501722,0.5133590298590299,0.669323149073149,0.5544428854446284,0.40535199999999993,0.0,84
0.4250936329588015,0.5858064516129032,0.49267498643516006,0.455808941058941,0.620954822954823,0.49611205815352066,0.3542139999999999,0.01,85
0.4696813977389517,0.6085219707057257,0.5301624129930395,0.48826273726273717,0.6104803807303807,0.5197996987867434,0.38333899999999993,0.03,86
0.4889589905362776,0.5643203883495146,0.523943661971831,0.5016670412920412,0.573022546897547,0.5135871798994092,0.366931,0.0,87
0.4720558882235529,0.6150845253576073,0.5341614906832297,0.47995908258408265,0.6335192862692862,0.5229178385421942,0.379272,0.01,88
0.4915254237288136,0.567318757192175,0.5267094017094017,0.4987709790209791,0.5878021284271284,0.5161622803524024,0.36731400000000003,0.01,89
0.4762845849802372,0.5906862745098039,0.5273522975929978,0.5014274198024198,0.6176222388722389,0.5278272182579031,0.38304799999999994,0.02,90
0.4578544061302682,0.6073697585768743,0.5221190606226106,0.47240254190254194,0.6201085303585303,0.5163470789758227,0.36617199999999994,0.0,91
0.4498448810754912,0.5934515688949522,0.511764705882353,0.4791494338994339,0.6193048618048618,0.5141576142066768,0.36847799999999997,0.02,92
0.44271844660194176,0.5757575757575758,0.5005488474204172,0.4635187451437451,0.6000590243090244,0.49672945918964717,0.35418999999999995,0.01,93
0.4737903225806452,0.6088082901554405,0.5328798185941044,0.5325409035409036,0.6453271728271729,0.561340508925061,0.416618,0.05,94
0.5125,0.625158831003812,0.5632512879221522,0.5427381784881785,0.6450731351981353,0.5633130687214755,0.417038,0.02,95
0.46673387096774194,0.6052287581699346,0.527034718269778,0.468302960927961,0.6136044511044512,0.5068002185988191,0.36231,0.0,96
0.4898785425101215,0.6057571964956195,0.5416899832120873,0.5419476495726496,0.6490262376512377,0.5649425249621526,0.421543,0.05,97
0.47695390781563124,0.6189856957087126,0.5387662705149971,0.49798769286269284,0.6552742951492952,0.5396919197408151,0.392184,0.01,98
0.4532520325203252,0.6335227272727273,0.5284360189573459,0.47661899211899217,0.6773512737262738,0.5335715727894411,0.38593200000000005,0.02,99
0.5005045408678103,0.6056166056166056,0.5480662983425414,0.5078951603951604,0.6295837357087357,0.5383665594979017,0.393345,0.02,100
0.47581441263573543,0.6140127388535032,0.5361512791991101,0.4950148740148741,0.6547257326007326,0.539403606575377,0.39546,0.02,101
0.4821246169560776,0.6059050064184852,0.5369738339021616,0.4987195998445998,0.6090101703851704,0.529491109331109,0.382681,0.01,102
0.4634146341463415,0.5742444152431012,0.5129107981220657,0.48401687201687194,0.5938471250971251,0.510344805050208,0.37025499999999995,0.02,103
0.4848178137651822,0.6412315930388219,0.5521613832853025,0.49671496558996575,0.6537253857253859,0.5422477687668593,0.40073900000000007,0.02,104
0.4945919370698132,0.6119221411192214,0.5470364328439369,0.5229674769674769,0.649314047064047,0.5525211191098932,0.40233800000000003,0.02,105
0.4994487320837927,0.6121621621621621,0.5500910746812386,0.5189203157953157,0.6407479326229325,0.5490199496790256,0.4061549999999999,0.03,106
0.49229188078108943,0.6335978835978836,0.5540775014459226,0.496776085026085,0.6488400488400488,0.5389167551657537,0.395619,0.01,107
0.4838709677419355,0.6081081081081081,0.5389221556886228,0.5063714479964481,0.6316478105228105,0.537187066893445,0.392301,0.02,108
0.4959349593495935,0.5980392156862745,0.5422222222222222,0.5086442585192584,0.6175289571539572,0.5381788398064552,0.38892400000000005,0.01,109
0.4645354645354645,0.6023316062176166,0.5245346869712352,0.480058843933844,0.6255639499389499,0.5230179068243326,0.380799,0.02,110
0.46355685131195334,0.5881627620221949,0.5184782608695652,0.5047298812298812,0.6208077061827061,0.5338194641015527,0.38829500000000006,0.03,111
0.46730975348338694,0.5899864682002707,0.5215311004784688,0.49216991341991345,0.6268420190920192,0.5307341593741772,0.388237,0.04,112
0.49737670514165794,0.6108247422680413,0.5482938114517062,0.5261614357864358,0.6333624292374291,0.553360070100607,0.4109029999999999,0.04,113
0.4824824824824825,0.6219354838709678,0.5434047350620067,0.4823950355200355,0.6320012765012765,0.5263585401991137,0.385219,0.02,114
0.5110663983903421,0.6381909547738693,0.5675977653631286,0.5244876373626375,0.6479931457431458,0.5627828189445871,0.416268,0.0,115
0.43058161350844276,0.5862068965517241,0.49648458626284475,0.4522662615162616,0.6138985736485736,0.5009709265848777,0.35490099999999997,0.01,116
0.5066371681415929,0.604221635883905,0.5511432009626955,0.529209249084249,0.64415164002664,0.5535752730468197,0.40652300000000013,0.0,117
0.4692737430167598,0.60431654676259,0.5283018867924529,0.5114313741813742,0.6294828088578089,0.5407569866397359,0.40048,0.04,118
0.47214076246334313,0.5702479338842975,0.5165775401069519,0.47802090964590965,0.5905311216561216,0.5008080115840601,0.359069,0.0,119
0.49107142857142855,0.6226415094339622,0.5490848585690516,0.5093527306027306,0.6326273448773448,0.5457431356818356,0.403737,0.03,120
0.46277665995975853,0.58898847631242,0.5183098591549297,0.4957822316572317,0.6206651542901542,0.531138429497703,0.38496199999999997,0.03,121
0.4680038204393505,0.6234096692111959,0.5346426623022367,0.5060263347763349,0.6701247502497502,0.5532528805202716,0.40732900000000005,0.04,122
0.4669223394055609,0.6227621483375959,0.5336986301369863,0.48940460927960927,0.6393624708624709,0.5324426529305366,0.3874280000000001,0.01,123
0.4850976361767729,0.6178010471204188,0.5434657455382844,0.5156760323010324,0.6507220973470974,0.5519951583443281,0.41228300000000007,0.05,124
0.48429584599797365,0.5886699507389163,0.5314063368538077,0.5069008352758352,0.6204697802197803,0.5360290601883314,0.39223199999999997,0.03,125
0.4789422135161606,0.6417322834645669,0.5485137408861469,0.5069458874458875,0.6758527722277724,0.5566129905622672,0.407987,0.02,126
0.4689655172413793,0.6048284625158831,0.5283018867924528,0.4917711038961039,0.6386039099789099,0.5347896837414328,0.3939069999999999,0.02,127
0.465979381443299,0.5573366214549939,0.5075800112296464,0.49199322899322906,0.5852370823620825,0.5145739189449962,0.371236,0.01,128
0.4511415525114155,0.6113861386138614,0.5191802417235943,0.4805326201576201,0.6522129537129538,0.5330730366164758,0.38569,0.02,129
0.48403193612774453,0.6178343949044586,0.5428091773922775,0.516036075036075,0.6518146991896991,0.5490639898459073,0.40465999999999996,0.03,130
0.5135135135135135,0.6449086161879896,0.5717592592592592,0.5270181207681207,0.6504341769341769,0.5642050721791229,0.42246399999999995,0.03,131
0.4799196787148594,0.6050632911392405,0.5352743561030235,0.49584981684981677,0.6365533355533356,0.5303372972900431,0.38196800000000003,0.01,132
0.49657198824681686,0.6152912621359223,0.5495934959349593,0.5152858391608391,0.6450347014097013,0.5533002533380293,0.407031,0.03,133
0.4994753410283316,0.6238532110091743,0.5547785547785549,0.5172829947829948,0.6469704600954601,0.5550972953073249,0.41393699999999994,0.02,134
0.4595910418695229,0.5756097560975609,0.511099079588522,0.4912374431124431,0.6099111305361304,0.524851208299437,0.38035399999999997,0.03,135
0.48326771653543305,0.6176100628930817,0.5422418553285477,0.4921147324897326,0.6289030552780555,0.5334738773320082,0.38662099999999994,0.01,136
0.48955223880597015,0.6448230668414154,0.5565610859728507,0.5065199522699523,0.6608001443001443,0.5515065139544953,0.40858900000000004,0.02,137
0.4898941289701636,0.6016548463356974,0.5400530503978781,0.5188631507381507,0.6339943251193251,0.5472354577204135,0.4020849999999999,0.02,138
